"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 01_pos_032823_066,[Mass] 02_pos_032823_071,[Mass] 03_pos_032823_084,[Mass] 04_pos_032823_085,[Mass] 05_pos_032823_074,[Mass] 06_pos_032823_082,[Mass] 07_pos_032823_080,[Mass] 08_pos_032823_088,[Mass] 09_pos_032823_093,[Mass] 10_pos_032823_090,[Mass] 11_pos_032823_064,[Mass] 12_pos_032823_075,[Mass] 13_pos_032823_072,[Mass] 14_pos_032823_092,[Mass] 15_pos_032823_091,[Mass] 16_pos_032823_077,[Mass] 17_pos_032823_063,[Mass] 18_pos_032823_065,[Mass] 19_pos_032823_089,[Mass] 20_pos_032823_081,[Mass] 21_pos_032823_067,[Mass] 22_pos_032823_068,[Mass] ISB_pos_032823_076,[Mass] PB_pos_032823_073,[RT] 01_pos_032823_066,[RT] 02_pos_032823_071,[RT] 03_pos_032823_084,[RT] 04_pos_032823_085,[RT] 05_pos_032823_074,[RT] 06_pos_032823_082,[RT] 07_pos_032823_080,[RT] 08_pos_032823_088,[RT] 09_pos_032823_093,[RT] 10_pos_032823_090,[RT] 11_pos_032823_064,[RT] 12_pos_032823_075,[RT] 13_pos_032823_072,[RT] 14_pos_032823_092,[RT] 15_pos_032823_091,[RT] 16_pos_032823_077,[RT] 17_pos_032823_063,[RT] 18_pos_032823_065,[RT] 19_pos_032823_089,[RT] 20_pos_032823_081,[RT] 21_pos_032823_067,[RT] 22_pos_032823_068,[RT] ISB_pos_032823_076,[RT] PB_pos_032823_073,[Height] 01_pos_032823_066,[Height] 02_pos_032823_071,[Height] 03_pos_032823_084,[Height] 04_pos_032823_085,[Height] 05_pos_032823_074,[Height] 06_pos_032823_082,[Height] 07_pos_032823_080,[Height] 08_pos_032823_088,[Height] 09_pos_032823_093,[Height] 10_pos_032823_090,[Height] 11_pos_032823_064,[Height] 12_pos_032823_075,[Height] 13_pos_032823_072,[Height] 14_pos_032823_092,[Height] 15_pos_032823_091,[Height] 16_pos_032823_077,[Height] 17_pos_032823_063,[Height] 18_pos_032823_065,[Height] 19_pos_032823_089,[Height] 20_pos_032823_081,[Height] 21_pos_032823_067,[Height] 22_pos_032823_068,[Height] ISB_pos_032823_076,[Height] PB_pos_032823_073,[Score (MFE)] 01_pos_032823_066,[Score (MFE)] 02_pos_032823_071,[Score (MFE)] 03_pos_032823_084,[Score (MFE)] 04_pos_032823_085,[Score (MFE)] 05_pos_032823_074,[Score (MFE)] 06_pos_032823_082,[Score (MFE)] 07_pos_032823_080,[Score (MFE)] 08_pos_032823_088,[Score (MFE)] 09_pos_032823_093,[Score (MFE)] 10_pos_032823_090,[Score (MFE)] 11_pos_032823_064,[Score (MFE)] 12_pos_032823_075,[Score (MFE)] 13_pos_032823_072,[Score (MFE)] 14_pos_032823_092,[Score (MFE)] 15_pos_032823_091,[Score (MFE)] 16_pos_032823_077,[Score (MFE)] 17_pos_032823_063,[Score (MFE)] 18_pos_032823_065,[Score (MFE)] 19_pos_032823_089,[Score (MFE)] 20_pos_032823_081,[Score (MFE)] 21_pos_032823_067,[Score (MFE)] 22_pos_032823_068,[Score (MFE)] ISB_pos_032823_076,[Score (MFE)] PB_pos_032823_073,[Score (Tgt)] 01_pos_032823_066,[Score (Tgt)] 02_pos_032823_071,[Score (Tgt)] 03_pos_032823_084,[Score (Tgt)] 04_pos_032823_085,[Score (Tgt)] 05_pos_032823_074,[Score (Tgt)] 06_pos_032823_082,[Score (Tgt)] 07_pos_032823_080,[Score (Tgt)] 08_pos_032823_088,[Score (Tgt)] 09_pos_032823_093,[Score (Tgt)] 10_pos_032823_090,[Score (Tgt)] 11_pos_032823_064,[Score (Tgt)] 12_pos_032823_075,[Score (Tgt)] 13_pos_032823_072,[Score (Tgt)] 14_pos_032823_092,[Score (Tgt)] 15_pos_032823_091,[Score (Tgt)] 16_pos_032823_077,[Score (Tgt)] 17_pos_032823_063,[Score (Tgt)] 18_pos_032823_065,[Score (Tgt)] 19_pos_032823_089,[Score (Tgt)] 20_pos_032823_081,[Score (Tgt)] 21_pos_032823_067,[Score (Tgt)] 22_pos_032823_068,[Score (Tgt)] ISB_pos_032823_076,[Score (Tgt)] PB_pos_032823_073,[Ions] 01_pos_032823_066,[Ions] 02_pos_032823_071,[Ions] 03_pos_032823_084,[Ions] 04_pos_032823_085,[Ions] 05_pos_032823_074,[Ions] 06_pos_032823_082,[Ions] 07_pos_032823_080,[Ions] 08_pos_032823_088,[Ions] 09_pos_032823_093,[Ions] 10_pos_032823_090,[Ions] 11_pos_032823_064,[Ions] 12_pos_032823_075,[Ions] 13_pos_032823_072,[Ions] 14_pos_032823_092,[Ions] 15_pos_032823_091,[Ions] 16_pos_032823_077,[Ions] 17_pos_032823_063,[Ions] 18_pos_032823_065,[Ions] 19_pos_032823_089,[Ions] 20_pos_032823_081,[Ions] 21_pos_032823_067,[Ions] 22_pos_032823_068,[Ions] ISB_pos_032823_076,[Ions] PB_pos_032823_073,
PC 16:0_18:2,C42 H80 N O8 P,757.5628,0.43,0,7.29,0.119,6360276,23,1,91.0,10.2,2,16,757.5629,757.5627,757.5628,757.5628,757.5629,757.5628,757.5628,757.5629,757.5627,757.5629,757.5630,757.5627,757.5629,757.5629,757.5628,757.5628,757.5628,757.5627,757.5628,757.5629,757.5627,757.5629,,757.5613,7.319,7.297,7.295,7.300,7.294,7.296,7.289,7.289,7.310,7.291,7.291,7.289,7.309,7.313,7.290,7.318,7.293,7.323,7.288,7.302,7.306,7.295,,7.204,9111899,7555503,6870595,7990910,6409718,6197825,8632748,7073064,8785690,3936050,7324725,4473919,7794807,5658518,6216282,4703308,11781033,3493982,8912743,4145688,5320308,3896422,,618,,,,,,,,,,,,,,,,,,,,,,,,,83.89,89.35,89.71,88.38,90.07,89.31,90.93,90.85,86.00,90.34,90.18,91.05,86.13,85.07,90.74,84.01,89.96,82.79,90.99,87.92,87.17,89.49,,47.78,12,12,14,13,14,12,16,13,13,14,13,13,14,15,13,14,12,13,12,13,15,15,,2,
PC 18:0_18:2,C44 H84 N O8 P,785.5941,0.38,0,8.19,0.189,1728222,24,0,99.2,5.5,5,15,785.5942,785.5941,785.5939,785.5942,785.5940,785.5940,785.5942,785.5941,785.5941,785.5939,785.5940,785.5940,785.5941,785.5940,785.5940,785.5940,785.5941,785.5940,785.5941,785.5940,785.5940,785.5940,785.5946,785.5953,8.193,8.188,8.192,8.185,8.191,8.187,8.197,8.191,8.192,8.194,8.188,8.192,8.187,8.193,8.193,8.192,8.190,8.198,8.186,8.193,8.189,8.188,8.009,8.076,3588089,1945214,1509845,2585482,1539340,1705273,2211394,1805601,2459979,991795,2172560,1562298,1852956,1369035,1481302,1180313,3493907,1076279,2779682,1600773,1497753,1061607,3650,3222,,,,,,,,,,,,,,,,,,,,,,,,,83.66,84.89,84.16,98.97,84.36,85.24,99.21,84.09,83.88,83.72,85.00,84.03,85.09,83.67,83.81,84.06,84.71,82.66,85.31,83.82,84.64,84.92,77.74,79.37,14,12,14,11,14,12,13,10,15,11,14,12,12,10,12,12,14,12,14,14,13,13,5,5,
PC 16:0_22:6,C46 H80 N O8 P,805.5625,1.06,0,6.82,0.173,1426632,24,0,88.4,6.6,2,18,805.5629,805.5627,805.5628,805.5628,805.5628,805.5627,805.5628,805.5627,805.5628,805.5626,805.5628,805.5627,805.5628,805.5627,805.5628,805.5626,805.5628,805.5625,805.5627,805.5627,805.5627,805.5626,805.5614,805.5587,6.817,6.817,6.826,6.820,6.820,6.816,6.821,6.815,6.824,6.818,6.823,6.821,6.820,6.828,6.816,6.817,6.819,6.816,6.814,6.822,6.817,6.817,6.656,6.798,2239088,1935079,1810529,2085085,1516759,1432847,1989298,1532437,1536905,1126790,2207984,1096112,1734450,1413411,1252839,1165536,2473644,807641,1640263,939380,1349777,950377,1667,1278,,,,,,,,,,,,,,,,,,,,,,,,,87.43,87.49,85.44,86.68,87.01,87.85,86.67,88.19,85.89,87.52,85.93,86.65,86.79,84.77,87.69,87.46,86.98,87.74,88.40,86.40,87.63,87.50,60.05,81.60,18,17,16,18,16,16,16,18,15,17,16,14,16,17,16,16,16,16,17,14,17,17,2,4,
PC 16:0_18:1,C42 H82 N O8 P,759.5782,1.04,0,8.04,0.021,1522622,23,1,84.5,5.9,5,17,759.5785,759.5784,759.5784,759.5785,759.5784,759.5784,759.5784,759.5784,759.5785,759.5783,759.5784,759.5783,759.5784,759.5784,759.5784,759.5783,759.5785,759.5782,759.5785,759.5783,759.5783,759.5783,759.5746,,8.043,8.038,8.041,8.041,8.040,8.042,8.041,8.041,8.053,8.038,8.037,8.041,8.037,8.037,8.037,8.042,8.040,8.042,8.041,8.043,8.039,8.038,8.031,,2481019,1971067,1659668,1910231,1404656,1492618,1994260,1513498,1704376,956816,1633427,1132455,1829108,1416321,1335899,932142,3307637,954071,1841192,1108631,1419509,1018041,3682,,,,,,,,,,,,,,,,,,,,,,,,,,83.11,84.46,83.36,83.41,83.72,83.44,83.55,83.65,80.77,84.35,84.45,83.42,84.31,84.28,84.40,83.34,83.90,83.38,83.82,83.19,83.90,84.10,60.36,,17,14,14,14,14,14,14,14,13,15,14,13,16,14,15,14,12,13,14,14,14,16,5,,
LPC 16:0/0:0,C24 H50 N O7 P,495.3329,0.14,0,2.19,0.010,893761,22,2,98.6,0.3,10,14,495.3330,495.3329,495.3329,495.3329,495.3328,495.3328,495.3329,495.3328,495.3328,495.3327,495.3329,495.3329,495.3329,495.3329,495.3328,495.3329,495.3330,495.3328,495.3329,495.3328,495.3328,495.3328,,,2.190,2.186,2.189,2.191,2.184,2.190,2.185,2.189,2.187,2.186,2.192,2.184,2.188,2.190,2.184,2.188,2.189,2.186,2.191,2.187,2.193,2.191,,,1400167,851205,821458,1144102,752373,653331,898614,721201,765680,486254,1184985,983113,1148874,810193,928305,826610,1627056,500788,1158072,723155,717590,559620,,,,,,,,,,,,,,,,,,,,,,,,,,,98.14,97.59,98.15,98.22,97.48,98.34,97.91,98.14,97.93,97.93,98.53,97.47,97.86,98.12,97.59,98.03,98.06,97.83,98.17,97.94,98.60,98.39,,,12,12,11,14,12,12,13,13,14,13,14,14,14,13,12,13,14,10,14,11,11,12,,,
PC 16:0_20:4,C44 H80 N O8 P,781.5627,1.96,0,7.10,0.195,1228834,24,0,87.3,9.5,7,16,781.5635,781.5632,781.5632,781.5634,781.5633,781.5625,781.5634,781.5624,781.5632,781.5624,781.5634,781.5633,781.5634,781.5634,781.5633,781.5631,781.5635,781.5631,781.5625,781.5633,781.5634,781.5632,781.5582,781.5576,7.101,7.113,7.105,7.104,7.104,7.106,7.111,7.105,7.103,7.107,7.113,7.105,7.103,7.107,7.100,7.101,7.109,7.106,7.104,7.101,7.100,7.106,6.918,6.982,2242450,1303642,1289000,2483627,1089822,1098640,1528612,1131221,1269234,814005,1746821,1232275,1496019,1166780,1195194,1010226,2115324,664887,1496690,1168267,1119429,817890,7763,4213,,,,,,,,,,,,,,,,,,,,,,,,,83.83,77.30,74.05,80.94,84.94,85.94,78.70,76.01,82.69,86.51,74.62,85.99,87.29,82.04,86.61,74.17,83.79,79.23,86.10,77.94,83.07,76.25,51.80,71.46,15,12,10,14,14,12,11,12,11,11,12,16,13,14,14,10,13,12,12,12,11,14,7,7,
PC 18:0_20:4,C46 H84 N O8 P,809.5941,1.46,0,8.03,0.220,753954,24,0,98.8,16.2,2,15,809.5941,809.5941,809.5939,809.5942,809.5940,809.5940,809.5941,809.5940,809.5941,809.5938,809.5941,809.5939,809.5941,809.5939,809.5939,809.5940,809.5942,809.5937,809.5941,809.5939,809.5940,809.5939,809.5906,809.5986,8.037,8.032,8.030,8.041,8.024,8.025,8.030,8.024,8.030,8.027,8.032,8.036,8.021,8.015,8.026,8.030,8.029,8.025,8.024,8.020,8.034,8.022,8.031,7.821,1264062,866061,732579,1429477,734595,711963,1056108,715408,969906,468947,1084838,663112,833990,622760,664560,605696,1376053,458875,1006082,648952,702594,477106,724,451,,,,,,,,,,,,,,,,,,,,,,,,,95.61,79.81,80.33,97.42,81.82,81.09,80.22,81.31,98.39,98.76,79.79,77.28,82.05,97.79,98.26,80.52,80.13,81.45,81.25,82.62,78.99,97.60,50.34,44.83,12,14,13,15,13,14,14,14,14,13,15,11,14,11,12,12,13,11,11,12,10,13,4,2,
LPC 18:2/0:0,C26 H50 N O7 P,519.3329,1.89,0,1.69,0.130,530615,23,1,98.6,15.6,1,12,519.3329,519.3327,519.3326,519.3327,519.3327,519.3326,519.3327,519.3327,519.3327,519.3325,519.3327,519.3328,519.3328,519.3327,519.3327,519.3327,519.3328,519.3325,519.3327,519.3327,519.3327,519.3327,,519.3374,1.689,1.691,1.687,1.690,1.688,1.688,1.689,1.693,1.691,1.689,1.693,1.692,1.694,1.693,1.688,1.692,1.691,1.690,1.688,1.692,1.694,1.692,,1.817,1150920,436393,385491,719298,373283,323492,442775,381026,582176,193274,677938,925782,663749,509488,536039,455555,1039956,298224,846137,565003,369282,328451,,416,,,,,,,,,,,,,,,,,,,,,,,,,97.81,98.27,97.85,98.11,97.23,97.70,97.84,98.56,98.19,98.27,98.60,98.43,98.56,98.40,97.85,98.30,98.26,98.17,97.90,98.42,98.56,98.30,,27.20,12,11,10,10,11,11,10,12,11,11,10,11,10,9,10,10,10,11,12,12,12,10,,1,
PC 15:0_18:1(d7),C41 H73 D7 N O8 P,752.6061,1.45,0,7.54,0.082,481371,24,0,86.7,7.3,2,16,752.6063,752.6064,752.6063,752.6064,752.6063,752.6062,752.6064,752.6064,752.6063,752.6063,752.6062,752.6061,752.6064,752.6063,752.6062,752.6063,752.6064,752.6062,752.6064,752.6063,752.6063,752.6063,752.6062,752.6010,7.541,7.547,7.545,7.545,7.544,7.552,7.545,7.545,7.545,7.542,7.542,7.545,7.537,7.536,7.546,7.535,7.544,7.541,7.539,7.541,7.539,7.539,7.558,7.477,484663,537071,612828,602512,503796,453986,485594,488613,458253,492684,405882,296902,526040,514633,488922,538480,613971,390135,647760,567835,508793,521002,411346,1204,,,,,,,,,,,,,,,,,,,,,,,,,85.27,83.24,84.27,84.38,84.50,82.83,84.32,84.33,84.47,85.11,85.18,84.35,86.22,86.48,84.10,86.72,84.62,85.44,85.71,85.32,85.74,85.84,81.39,55.44,13,13,11,16,15,12,15,13,12,13,14,13,12,12,13,14,13,13,13,14,14,14,15,2,
PC 18:1_18:2,C44 H82 N O8 P,783.5779,0.18,0,7.32,0.019,707675,22,2,88.1,1.3,9,14,783.5781,783.5778,783.5777,783.5781,783.5777,783.5778,783.5779,783.5780,783.5780,783.5776,783.5779,783.5778,783.5778,783.5778,783.5778,783.5777,783.5780,783.5777,783.5781,783.5778,783.5778,783.5778,,,7.319,7.313,7.317,7.316,7.327,7.318,7.317,7.316,7.321,7.325,7.308,7.311,7.315,7.319,7.312,7.324,7.315,7.318,7.316,7.318,7.317,7.311,,,1206752,616545,561805,1150680,511121,597077,840189,694847,918570,377855,737306,629380,747148,605349,592707,460228,1180692,394203,1068931,616625,608982,451862,,,,,,,,,,,,,,,,,,,,,,,,,,,85.57,86.90,85.96,86.03,83.58,85.77,86.05,86.07,84.95,84.16,88.14,87.36,86.36,85.56,87.14,84.28,86.32,85.68,86.14,85.65,86.04,87.31,,,11,10,9,11,11,11,12,12,14,11,10,11,10,12,12,11,11,13,12,10,11,10,,,
LPC 0:0/18:2,C26 H50 N O7 P,519.3327,0.16,0,1.54,0.011,376595,22,2,99.2,0.3,8,12,519.3327,519.3327,519.3326,519.3327,519.3326,519.3326,519.3327,519.3326,519.3326,519.3326,519.3328,519.3324,519.3328,519.3327,519.3327,519.3326,519.3328,519.3326,519.3328,519.3327,519.3327,519.3326,,,1.544,1.541,1.542,1.540,1.544,1.543,1.544,1.542,1.540,1.544,1.543,1.541,1.545,1.543,1.543,1.547,1.546,1.544,1.543,1.541,1.550,1.548,,,406976,326760,358640,471954,292269,265349,411039,375057,287471,252605,463904,234458,470341,314484,390645,358358,597591,300152,668735,390288,389201,258831,,,,,,,,,,,,,,,,,,,,,,,,,,,98.45,98.21,98.36,97.84,98.61,98.53,98.34,98.41,98.07,98.71,98.40,98.39,98.37,98.33,98.23,98.95,98.71,98.54,98.38,98.17,99.17,99.05,,,11,11,11,10,9,10,10,10,10,8,10,8,10,10,10,11,11,10,12,12,12,10,,,
TG 16:0_18:1_18:2,C55 H100 O6,856.7519,0.39,0,13.68,0.027,616159,23,1,80.0,4.7,10,20,856.7519,856.7523,856.7521,856.7519,856.7520,856.7521,856.7519,856.7519,856.7519,856.7520,856.7521,856.7519,856.7522,856.7520,856.7519,856.7519,856.7519,856.7519,856.7520,856.7518,856.7519,856.7517,856.7505,,13.678,13.678,13.678,13.676,13.685,13.677,13.675,13.675,13.680,13.676,13.677,13.676,13.679,13.678,13.683,13.678,13.681,13.683,13.678,13.677,13.677,13.672,13.699,,468240,1250703,925395,533171,694198,855512,543116,543491,351944,426475,990595,373962,1209943,768118,498609,567751,750471,703212,794564,266456,385036,261112,9587,,,,,,,,,,,,,,,,,,,,,,,,,,78.87,79.26,79.22,79.61,77.93,79.42,79.65,79.81,78.83,79.43,79.42,79.66,78.97,79.39,78.07,79.30,78.63,78.20,79.24,79.25,79.31,79.97,61.50,,14,18,18,18,18,18,18,15,16,16,19,15,19,18,16,17,20,17,19,15,17,16,10,,
PC 18:0_22:6,C48 H84 N O8 P,833.5937,0.96,0,7.72,0.171,312406,24,0,99.8,15.0,2,16,833.5937,833.5935,833.5934,833.5936,833.5935,833.5935,833.5937,833.5935,833.5936,833.5935,833.5936,833.5934,833.5935,833.5935,833.5935,833.5934,833.5937,833.5934,833.5936,833.5934,833.5935,833.5934,833.5967,833.5959,7.714,7.720,7.713,7.723,7.728,7.724,7.718,7.712,7.729,7.715,7.737,7.718,7.709,7.720,7.730,7.730,7.733,7.736,7.723,7.714,7.722,7.711,7.742,7.571,389080,438868,353389,360053,395964,357614,476613,380811,478249,271329,394795,200759,299918,266857,265820,259635,517307,239080,386705,205750,323288,234261,1090,520,,,,,,,,,,,,,,,,,,,,,,,,,83.10,81.80,83.49,81.13,80.04,80.67,82.24,83.60,79.84,82.92,78.29,82.07,84.26,81.70,79.49,79.50,99.80,78.31,81.09,82.93,81.20,83.83,31.99,58.74,12,14,12,14,14,12,12,13,12,12,14,12,12,12,13,12,16,12,13,10,10,11,3,2,
LPC 18:0/0:0,C26 H54 N O7 P,523.3639,0.43,0,3.42,0.076,303957,23,1,99.7,9.1,3,14,523.3640,523.3640,523.3639,523.3640,523.3638,523.3639,523.3639,523.3639,523.3639,523.3638,523.3641,523.3640,523.3641,523.3640,523.3640,523.3639,523.3640,523.3639,523.3640,523.3639,523.3639,523.3639,,523.3629,3.422,3.422,3.422,3.424,3.421,3.424,3.423,3.422,3.417,3.420,3.422,3.419,3.430,3.424,3.423,3.425,3.424,3.425,3.422,3.425,3.428,3.428,,3.493,497395,345669,288530,409556,285517,258864,324334,249252,285503,162860,479039,360596,393297,293329,340261,300470,459751,194330,361350,250415,259494,190204,,1004,,,,,,,,,,,,,,,,,,,,,,,,,99.21,99.28,99.25,99.28,99.22,99.45,99.39,99.33,98.81,99.06,99.05,98.91,99.61,99.41,99.28,99.42,99.23,99.48,99.21,99.51,99.57,99.66,,56.70,13,14,10,12,12,12,11,13,11,9,10,13,11,11,12,11,11,10,10,12,11,9,,3,
PC 18:1_20:4,C46 H82 N O8 P,807.5771,3.70,0,7.12,0.060,256219,23,1,87.7,14.2,2,15,807.5778,807.5776,807.5777,807.5779,807.5776,807.5777,807.5777,807.5776,807.5776,807.5776,807.5778,807.5777,807.5777,807.5778,807.5777,807.5776,807.5778,807.5777,807.5777,807.5776,807.5777,807.5776,807.5634,,7.118,7.124,7.127,7.121,7.121,7.117,7.127,7.127,7.131,7.118,7.124,7.122,7.120,7.118,7.123,7.118,7.126,7.140,7.132,7.129,7.117,7.139,7.079,,435453,257853,262816,536244,217037,219070,301408,224652,226915,167625,351429,263853,296388,268689,231525,187918,396330,137105,287034,224500,232691,165819,697,,,,,,,,,,,,,,,,,,,,,,,,,,87.51,86.04,85.22,86.70,86.64,87.68,85.34,85.35,84.19,86.82,86.01,86.56,86.96,87.47,86.39,87.51,85.63,82.38,83.91,84.92,87.70,82.40,29.43,,13,11,13,13,13,11,13,12,11,10,13,11,13,15,11,11,14,10,12,12,11,12,2,,
TG 16:0_18:1_18:1,C55 H102 O6,858.7676,0.20,0,14.15,0.026,547289,24,0,79.9,3.0,9,19,858.7675,858.7678,858.7677,858.7676,858.7676,858.7677,858.7677,858.7675,858.7674,858.7676,858.7678,858.7675,858.7679,858.7677,858.7676,858.7676,858.7675,858.7677,858.7677,858.7675,858.7675,858.7675,858.7671,858.7672,14.145,14.145,14.150,14.155,14.152,14.156,14.153,14.159,14.152,14.155,14.150,14.160,14.157,14.156,14.150,14.151,14.154,14.150,14.145,14.156,14.150,14.163,14.142,14.167,458269,1101113,838655,550051,596207,840070,559282,522131,341126,435696,886067,363122,1018774,649083,467689,483391,605152,715915,711409,313962,371432,274039,16520,15786,,,,,,,,,,,,,,,,,,,,,,,,,79.49,79.84,78.71,77.82,78.24,77.46,78.12,77.13,78.24,77.64,78.88,76.89,77.34,77.59,78.69,78.46,77.99,78.77,79.89,77.65,78.61,76.49,69.27,71.76,17,17,16,17,17,17,16,15,15,17,17,15,18,18,17,19,17,16,16,16,17,15,9,11,
TG 15:0_18:1(d7)_15:0,C51 H89 D7 O6,811.7646,0.81,0,13.62,0.165,382957,24,0,100.0,12.3,2,17,811.7645,811.7645,811.7644,811.7645,811.7645,811.7646,811.7646,811.7644,811.7645,811.7645,811.7645,811.7645,811.7644,811.7646,811.7645,811.7645,811.7643,811.7645,811.7645,811.7644,811.7645,811.7645,811.7644,811.7677,13.623,13.622,13.622,13.615,13.618,13.621,13.625,13.625,13.624,13.638,13.622,13.625,13.624,13.622,13.616,13.616,13.620,13.627,13.623,13.627,13.627,13.638,13.682,13.517,443344,399885,440644,472724,410810,381195,419527,410931,435835,407700,362257,344352,431503,412879,431299,416128,277991,368971,440386,441075,376071,381489,281566,2412,,,,,,,,,,,,,,,,,,,,,,,,,80.69,80.75,80.88,99.96,81.75,80.91,99.90,80.19,99.83,99.84,80.96,80.00,99.91,99.86,99.95,99.90,99.55,99.88,80.79,79.80,99.71,99.86,99.88,63.04,12,13,14,13,15,14,13,15,15,14,13,16,14,13,15,15,14,13,14,13,13,15,17,2,
TG 16:0_18:2_18:2,C55 H98 O6,854.7360,1.34,0,13.21,0.187,367050,24,0,80.2,5.5,3,19,854.7361,854.7364,854.7363,854.7362,854.7363,854.7362,854.7362,854.7362,854.7362,854.7362,854.7364,854.7361,854.7364,854.7363,854.7362,854.7363,854.7362,854.7362,854.7362,854.7359,854.7361,854.7361,854.7307,854.7368,13.217,13.205,13.206,13.215,13.218,13.215,13.203,13.225,13.230,13.204,13.210,13.208,13.223,13.216,13.233,13.210,13.197,13.210,13.212,13.216,13.204,13.192,13.046,13.224,268673,757105,585671,306006,477777,479086,329120,331567,217630,249165,630914,223735,787383,503717,302232,383610,505689,416894,515273,141587,236310,152808,465,6804,,,,,,,,,,,,,,,,,,,,,,,,,76.11,78.26,78.08,76.03,75.77,76.21,78.72,74.64,73.87,78.28,77.27,77.59,75.01,76.35,73.56,77.17,79.69,77.29,76.90,75.45,78.23,80.23,60.32,67.06,15,18,19,14,16,17,16,18,16,16,18,17,17,18,14,18,16,18,17,14,15,15,3,9,
PC 16:0_20:3,C44 H82 N O8 P,783.5779,0.20,0,7.32,0.019,697715,22,2,93.4,1.1,9,14,783.5781,783.5778,783.5777,783.5781,783.5777,783.5778,783.5779,783.5781,783.5780,783.5776,783.5779,783.5778,783.5778,783.5778,783.5777,783.5777,783.5781,783.5777,783.5780,783.5778,783.5778,783.5778,,,7.319,7.313,7.317,7.316,7.327,7.318,7.317,7.316,7.321,7.325,7.308,7.311,7.315,7.319,7.312,7.324,7.315,7.318,7.316,7.318,7.317,7.311,,,1215301,605242,573048,1139056,502321,595761,837782,483313,919765,377228,752724,630885,750821,605401,587363,456311,1165412,393110,1081540,620294,607586,449487,,,,,,,,,,,,,,,,,,,,,,,,,,,91.54,90.43,91.18,90.98,93.44,91.44,91.25,90.99,92.22,92.99,89.12,89.96,90.52,91.71,90.19,92.69,90.80,91.41,91.03,91.55,91.23,89.85,,,11,10,9,11,11,10,12,11,14,11,10,11,10,12,12,10,11,13,12,10,11,10,,,
PC 18:2_18:2,C44 H80 N O8 P,781.5615,1.05,0,6.62,0.158,159415,23,1,90.5,5.6,5,13,781.5619,781.5617,781.5617,781.5619,781.5616,781.5617,781.5619,781.5617,781.5620,781.5615,781.5617,781.5616,781.5617,781.5617,781.5617,781.5615,781.5620,781.5615,781.5619,781.5614,781.5617,781.5615,,781.5578,6.622,6.616,6.625,6.620,6.619,6.627,6.626,6.620,6.617,6.617,6.623,6.614,6.615,6.622,6.615,6.617,6.624,6.627,6.619,6.621,6.617,6.617,,6.469,309349,148364,132830,248068,129436,140945,216538,164194,260296,82453,187624,145832,180299,123241,123302,103032,308799,90641,246288,109342,128574,81916,,5204,,,,,,,,,,,,,,,,,,,,,,,,,88.89,89.80,87.98,89.31,89.45,87.52,88.06,89.38,90.02,89.88,88.56,90.51,90.46,88.82,90.35,89.90,88.36,87.52,89.63,88.75,90.02,89.81,,66.13,12,11,13,13,11,10,13,11,11,12,10,11,10,11,11,10,10,12,12,11,12,13,,5,
LPC 18:1/0:0,C26 H52 N O7 P,521.3482,0.25,0,2.39,0.118,211706,23,1,98.8,13.4,3,12,521.3483,521.3481,521.3483,521.3483,521.3482,521.3481,521.3481,521.3481,521.3481,521.3481,521.3482,521.3483,521.3483,521.3481,521.3482,521.3482,521.3483,521.3481,521.3482,521.3482,521.3481,521.3481,,521.3477,2.385,2.386,2.384,2.387,2.379,2.386,2.386,2.390,2.388,2.387,2.385,2.379,2.387,2.385,2.385,2.383,2.382,2.387,2.385,2.382,2.381,2.386,,2.497,397162,207226,179943,298987,163149,155206,190873,168727,201219,99046,278121,308370,260039,223320,231027,188311,368194,126903,298994,224171,159495,140224,,548,,,,,,,,,,,,,,,,,,,,,,,,,98.24,98.58,98.19,98.57,97.54,98.31,98.40,98.78,98.71,98.51,97.77,97.57,98.62,98.49,98.33,98.13,97.89,98.43,98.32,98.12,97.81,98.32,,36.97,11,9,8,10,11,8,11,10,10,9,11,11,11,11,10,11,12,9,10,9,10,10,,3,
PC 18:1_22:6,C48 H82 N O8 P,831.5776,0.28,0,6.85,0.125,146764,24,0,87.5,16.3,3,15,831.5777,831.5777,831.5777,831.5777,831.5776,831.5776,831.5776,831.5776,831.5777,831.5776,831.5777,831.5776,831.5777,831.5777,831.5776,831.5776,831.5776,831.5775,831.5776,831.5775,831.5775,831.5776,831.5766,831.5780,6.839,6.839,6.849,6.842,6.842,6.839,6.849,6.854,6.858,6.845,6.846,6.843,6.842,6.845,6.855,6.851,6.842,6.850,6.848,6.839,6.850,6.845,6.784,6.909,244442,186490,175485,251066,142084,139037,183258,146035,135797,107797,240469,129466,186427,169284,133623,122378,242417,80402,166754,105480,139187,92300,849,1816,,,,,,,,,,,,,,,,,,,,,,,,,87.43,87.32,85.25,86.92,86.99,87.50,85.33,83.93,83.13,85.68,86.08,86.61,86.73,86.17,83.96,84.91,87.02,84.80,85.23,87.52,84.67,85.46,67.71,22.19,13,13,12,15,13,12,13,13,14,13,13,12,14,14,13,12,12,12,13,10,14,13,5,3,
